game_id,matchup,abbr,attendance,conference_game,game_date,neutral_site,venue_id,venue_name,venue_city,venue_state,broadcast_type,network
401520313,Louisiana Tech Bulldogs at Middle Tennessee Blue Raiders,LT @ MTSU,9602,True,2023-10-10T23:00Z,False,3725,"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,TV,CBSSN
401520312,Liberty Flames at Jacksonville State Gamecocks,LIB @ JVST,21745,True,2023-10-10T23:30Z,False,3662,Burgess-Snow Field,Jacksonville,AL,TV,ESPNU
401531888,Coastal Carolina Chanticleers at Appalachian State Mountaineers,CCU @ APP,34252,True,2023-10-10T23:30Z,False,3792,Kidd Brewer Stadium,Boone,NC,TV,ESPN2
401520314,UTEP Miners at Florida International Panthers,UTEP @ FIU,14872,True,2023-10-11T23:30Z,False,218,Riccardo Silva Stadium,Miami,FL,TV,ESPN2
401520315,Sam Houston Bearkats at New Mexico State Aggies,SHSU @ NMSU,12812,True,2023-10-12T01:00Z,False,3601,Aggie Memorial Stadium,Las Cruces,NM,TV,CBSSN
401525862,West Virginia Mountaineers at Houston Cougars,WVU @ HOU,32152,True,2023-10-12T23:00Z,False,4728,TDECU Stadium,Houston,TX,TV,FS1
401531415,SMU Mustangs at East Carolina Pirates,SMU @ ECU,33444,True,2023-10-12T23:30Z,False,3699,Dowdy-Ficklen Stadium,Greenville,NC,TV,ESPN
401531371,Tulane Green Wave at Memphis Tigers,TULN @ MEM,35609,True,2023-10-13T23:00Z,False,3805,Simmons Bank Liberty Stadium,Memphis,TN,TV,ESPN
401532594,Fresno State Bulldogs at Utah State Aggies,FRES @ USU,17220,True,2023-10-14T00:00Z,False,3905,Maverik Stadium,Logan,UT,TV,CBSSN
401524029,Stanford Cardinal at Colorado Buffaloes,STAN @ COLO,53154,True,2023-10-14T02:00Z,False,3726,Folsom Field,Boulder,CO,TV,ESPN
401520327,Georgia Bulldogs at Vanderbilt Commodores,UGA @ VAN,28500,True,2023-10-14T16:00Z,False,3973,FirstBank Stadium,Nashville,TN,TV,CBS
401520321,Indiana Hoosiers at Michigan Wolverines,IU @ MICH,110264,True,2023-10-14T16:00Z,False,3558,Michigan Stadium,Ann Arbor,MI,TV,FOX
401520323,Ohio State Buckeyes at Purdue Boilermakers,OSU @ PUR,57319,True,2023-10-14T16:00Z,False,3907,Ross-Ade Stadium,West Lafayette,IN,Streaming,Peacock
401525524,Syracuse Orange at Florida State Seminoles,SYR @ FSU,79560,True,2023-10-14T16:00Z,False,3697,Doak Campbell Stadium,Tallahassee,FL,TV,ABC
401520322,Massachusetts Minutemen at Penn State Nittany Lions,MASS @ PSU,105533,False,2023-10-14T19:30Z,False,3632,Beaver Stadium,University Park,PA,TV,BTN
401524034,Oregon Ducks at Washington Huskies,ORE @ WASH,71321,True,2023-10-14T19:30Z,False,3765,Husky Stadium,Seattle,WA,TV,ABC
401524031,USC Trojans at Notre Dame Fighting Irish,USC @ ND,77622,False,2023-10-14T23:30Z,False,3855,Notre Dame Stadium,Notre Dame,IN,TV,NBC
401524031,USC Trojans at Notre Dame Fighting Irish,USC @ ND,77622,False,2023-10-14T23:30Z,False,3855,Notre Dame Stadium,Notre Dame,IN,Streaming,Peacock
401520316,Arkansas Razorbacks at Alabama Crimson Tide,ARK @ ALA,100077,True,2023-10-14T16:00Z,False,3657,Bryant-Denny Stadium,Tuscaloosa,AL,TV,ESPN
401525526,Miami Hurricanes at North Carolina Tar Heels,MIA @ UNC,50500,True,2023-10-14T23:30Z,False,3787,Kenan Stadium,Chapel Hill,NC,TV,ABC
401525525,Louisville Cardinals at Pittsburgh Panthers,LOU @ PITT,46296,True,2023-10-14T22:30Z,False,3752,Acrisure Stadium,Pittsburgh,PA,TV,CW NETWORK
401524032,UCLA Bruins at Oregon State Beavers,UCLA @ ORST,37600,True,2023-10-15T00:00Z,False,3893,Reser Stadium,Corvallis,OR,TV,FOX
401524033,California Golden Bears at Utah Utes,CAL @ UTAH,52115,True,2023-10-14T19:00Z,False,587,Rice-Eccles Stadium,Salt Lake City,UT,TV,PAC12
401525523,NC State Wolfpack at Duke Blue Devils,NCSU @ DUKE,31833,True,2023-10-15T00:00Z,False,3982,Wallace Wade Stadium,Durham,NC,TV,ACCN
