game_id,matchup,abbr,attendance,conference_game,game_date,neutral_site,venue_id,venue_name,venue_city,venue_state,broadcast_type,network
401532437,Ball State Cardinals at Northern Illinois Huskies,BALL @ NIU,6282,True,2023-11-08T00:00Z,False,3764,Huskie Stadium,Dekalb,IL,TV,CBSSN
401532438,Central Michigan Chippewas at Western Michigan Broncos,CMU @ WMU,0,True,2023-11-08T00:00Z,False,3980,Waldo Stadium,Kalamazoo,MI,TV,ESPNU
401532439,Ohio Bobcats at Buffalo Bulls,OHIO @ BUFF,11444,True,2023-11-08T00:30Z,False,3965,UB Stadium,Buffalo,NY,TV,ESPN2
401532441,Akron Zips at Miami (OH) RedHawks,AKR @ M-OH,7233,True,2023-11-09T00:00Z,False,3996,Yager Stadium,Oxford,OH,TV,ESPNU
401532442,Bowling Green Falcons at Kent State Golden Flashes,BGSU @ KENT,6065,True,2023-11-09T00:00Z,False,3696,Dix Stadium,Kent,OH,TV,CBSSN
401532440,Eastern Michigan Eagles at Toledo Rockets,EMU @ TOL,17842,True,2023-11-09T00:30Z,False,3739,Glass Bowl,Toledo,OH,TV,ESPN2
401525546,Virginia Cavaliers at Louisville Cardinals,UVA @ LOU,44628,True,2023-11-10T00:30Z,False,3873,L&N Federal Credit Union Stadium,Louisville,KY,TV,ESPN
401531911,Southern Miss Golden Eagles at Louisiana Ragin' Cajuns,USM @ UL,15137,True,2023-11-10T00:30Z,False,3666,Cajun Field,Lafayette,LA,TV,ESPNU
401531437,North Texas Mean Green at SMU Mustangs,UNT @ SMU,22043,True,2023-11-11T02:00Z,False,3735,Gerald J. Ford Stadium,Dallas,TX,TV,ESPN2
401532618,Wyoming Cowboys at UNLV Rebels,WYO @ UNLV,25568,True,2023-11-11T03:45Z,False,6501,Allegiant Stadium,Las Vegas,NV,TV,FS1
401520393,Michigan State Spartans at Ohio State Buckeyes,MSU @ OSU,105137,True,2023-11-12T00:30Z,False,3861,Ohio Stadium,Columbus,OH,TV,NBC
401520382,Ole Miss Rebels at Georgia Bulldogs,MISS @ UGA,92746,True,2023-11-12T00:00Z,False,3917,Sanford Stadium,Athens,GA,TV,ESPN
401520394,Michigan Wolverines at Penn State Nittany Lions,MICH @ PSU,110856,True,2023-11-11T17:00Z,False,3632,Beaver Stadium,University Park,PA,TV,FOX
401525550,Miami Hurricanes at Florida State Seminoles,MIA @ FSU,79560,True,2023-11-11T20:30Z,False,3697,Doak Campbell Stadium,Tallahassee,FL,TV,ABC
401524056,Utah Utes at Washington Huskies,UTAH @ WASH,70976,True,2023-11-11T20:30Z,False,3765,Husky Stadium,Seattle,WA,TV,FOX
401524053,USC Trojans at Oregon Ducks,USC @ ORE,59957,True,2023-11-12T03:30Z,False,3626,Autzen Stadium,Eugene,OR,TV,FOX
401525891,Texas Longhorns at TCU Horned Frogs,TEX @ TCU,50812,True,2023-11-12T00:30Z,False,3616,Amon G. Carter Stadium,Fort Worth,TX,TV,ABC
401520386,Alabama Crimson Tide at Kentucky Wildcats,ALA @ UK,61936,True,2023-11-11T17:00Z,False,3683,Kroger Field,Lexington,KY,TV,ESPN
401524054,Stanford Cardinal at Oregon State Beavers,STAN @ ORST,37107,True,2023-11-11T22:30Z,False,3893,Reser Stadium,Corvallis,OR,TV,PAC12
401520391,Tennessee Volunteers at Missouri Tigers,TENN @ MIZ,62621,True,2023-11-11T20:30Z,False,3838,Memorial Stadium/Faurot Field,Columbia,MO,TV,CBS
401525892,Oklahoma State Cowboys at UCF Knights,OKST @ UCF,44046,True,2023-11-11T20:30Z,False,3652,FBC Mortgage Stadium,Orlando,FL,TV,ESPN
401525888,Texas Tech Red Raiders at Kansas Jayhawks,TTU @ KU,47233,True,2023-11-11T17:00Z,False,3833,David Booth Kansas Memorial Stadium,Lawrence,KS,TV,FS1
401525890,West Virginia Mountaineers at Oklahoma Sooners,WVU @ OU,83525,True,2023-11-12T00:00Z,False,3835,"Memorial Stadium (Norman, OK)",Norman,OK,TV,FOX
401520389,Florida Gators at LSU Tigers,FLA @ LSU,102321,True,2023-11-12T00:30Z,False,3958,Tiger Stadium (LA),Baton Rouge,LA,TV,SECN
401524052,Arizona Wildcats at Colorado Buffaloes,ARIZ @ COLO,52788,True,2023-11-11T19:00Z,False,3726,Folsom Field,Boulder,CO,TV,PAC12
401520384,Rutgers Scarlet Knights at Iowa Hawkeyes,RUTG @ IOWA,69250,True,2023-11-11T20:30Z,False,3793,Kinnick Stadium,Iowa City,IA,TV,BTN
401531344,Tulsa Golden Hurricane at Tulane Green Wave,TLSA @ TULN,20126,True,2023-11-11T17:00Z,False,4729,Yulman Stadium,New Orleans,LA,TV,ESPN2
401525549,Duke Blue Devils at North Carolina Tar Heels,DUKE @ UNC,50500,True,2023-11-12T01:00Z,False,3787,Kenan Stadium,Chapel Hill,NC,TV,ACCN
401525889,Baylor Bears at Kansas State Wildcats,BAY @ KSU,51790,True,2023-11-11T20:00Z,False,3636,Bill Snyder Family Stadium,Manhattan,KS,Streaming,BIG12|ESPN+
401520381,Holy Cross Crusaders at Army Black Knights,HC @ ARMY,30602,False,2023-11-11T17:00Z,False,3841,Michie Stadium,West Point,NY,TV,CBSSN
401520383,Indiana Hoosiers at Illinois Fighting Illini,IU @ ILL,53157,True,2023-11-11T17:00Z,False,3832,"Memorial Stadium (Champaign, IL)",Champaign,IL,TV,BTN
401520392,Maryland Terrapins at Nebraska Cornhuskers,MD @ NEB,86830,True,2023-11-11T17:00Z,False,3834,"Memorial Stadium (Lincoln, NE)",Lincoln,NE,Streaming,Peacock
401520396,Vanderbilt Commodores at South Carolina Gamecocks,VAN @ SC,75682,True,2023-11-11T17:00Z,False,3994,Williams-Brice Stadium,Columbia,SC,TV,SECN
401525547,Virginia Tech Hokies at Boston College Eagles,VT @ BC,33665,True,2023-11-11T17:00Z,False,3615,"Alumni Stadium (Chestnut Hill, MA)",Chestnut Hill,MA,TV,ACCN
401525548,Georgia Tech Yellow Jackets at Clemson Tigers,GT @ CLEM,81426,True,2023-11-11T17:00Z,False,3836,"Memorial Stadium (Clemson, SC)",Clemson,SC,TV,ABC
401531393,Temple Owls at South Florida Bulls,TEM @ USF,30938,True,2023-11-11T17:00Z,False,3886,Raymond James Stadium,Tampa,FL,Streaming,ESPN+
401520388,Old Dominion Monarchs at Liberty Flames,ODU @ LIB,21481,False,2023-11-11T18:00Z,False,3992,Williams Stadium (VA),Lynchburg,VA,Streaming,ESPN+
401520385,UConn Huskies at James Madison Dukes,CONN @ JMU,25240,False,2023-11-11T19:00Z,False,3651,Bridgeforth Stadium/Zane Showker Field,Harrisonburg,VA,Streaming,ESPN+
401525551,NC State Wolfpack at Wake Forest Demon Deacons,NCSU @ WAKE,29591,True,2023-11-11T19:00Z,False,3630,Allegacy Federal Credit Union Stadium,Winston-Salem,NC,TV,CW NETWORK
401531408,Memphis Tigers at Charlotte 49ers,MEM @ CLT,8895,True,2023-11-11T19:00Z,False,4418,Jerry Richardson Stadium,Charlotte,NC,Streaming,ESPN+
401531913,Appalachian State Mountaineers at Georgia State Panthers,APP @ GAST,14260,True,2023-11-11T19:00Z,False,4246,Center Parc Stadium,Atlanta,GA,Streaming,ESPN+
401531915,Troy Trojans at UL Monroe Warhawks,TROY @ ULM,7683,True,2023-11-11T19:00Z,False,3817,Malone Stadium,Monroe,LA,Streaming,ESPN+
401520387,Sam Houston Bearkats at Louisiana Tech Bulldogs,SHSU @ LT,15080,True,2023-11-11T20:00Z,False,3776,Joe Aillet Stadium,Ruston,LA,Streaming,ESPN+
401540610,Virginia Lynchburg Dragons at Kennesaw State Owls,UVAL @ KENN,5735,False,2023-11-11T20:00Z,False,4899,Fifth Third Stadium,Kennesaw,GA,Streaming,ESPN+
401520390,Florida International Panthers at Middle Tennessee Blue Raiders,FIU @ MTSU,11111,True,2023-11-11T20:30Z,False,3725,"Johnny ""Red"" Floyd Stadium",Murfreesboro,TN,Streaming,ESPN+
401520395,Minnesota Golden Gophers at Purdue Boilermakers,MINN @ PUR,59049,True,2023-11-11T20:30Z,False,3907,Ross-Ade Stadium,West Lafayette,IN,TV,NBC
401520398,Northwestern Wildcats at Wisconsin Badgers,NU @ WIS,76124,True,2023-11-11T20:30Z,False,347,Camp Randall Stadium,Madison,WI,TV,FS1
401520399,New Mexico State Aggies at Western Kentucky Hilltoppers,NMSU @ WKU,16319,True,2023-11-11T20:30Z,False,3796,Houchens Industries-L.T. Smith Stadium,Bowling Green,KY,Streaming,ESPN+
401525552,Pittsburgh Panthers at Syracuse Orange,PITT VS SYR,17101,True,2023-11-11T20:30Z,True,4102,Yankee Stadium,Bronx,NY,TV,ACCN
401531384,UAB Blazers at Navy Midshipmen,UAB @ NAVY,29078,True,2023-11-11T20:30Z,False,3852,Navy-Marine Corps Memorial Stadium,Annapolis,MD,TV,CBSSN
401531912,Texas State Bobcats at Coastal Carolina Chanticleers,TXST @ CCU,15832,True,2023-11-11T20:30Z,False,3654,Brooks Stadium (SC),Conway,SC,Streaming,ESPN+
401520380,Auburn Tigers at Arkansas Razorbacks,AUB @ ARK,72033,True,2023-11-11T21:00Z,False,3887,Razorback Stadium,Fayetteville,AR,TV,SECN
401524051,Washington State Cougars at California Golden Bears,WSU @ CAL,38155,True,2023-11-11T21:00Z,False,3831,California Memorial Stadium,Berkeley,CA,TV,ESPN2
401531416,East Carolina Pirates at Florida Atlantic Owls,ECU @ FAU,0,True,2023-11-11T21:00Z,False,3715,FAU Stadium,Boca Raton,FL,Streaming,ESPN+
401531916,Arkansas State Red Wolves at South Alabama Jaguars,ARST @ USA,15242,True,2023-11-11T22:00Z,False,6526,Hancock Whitney Stadium,Mobile,AL,Streaming,ESPN+
401525887,Cincinnati Bearcats at Houston Cougars,CIN @ HOU,34312,True,2023-11-12T00:00Z,False,4728,TDECU Stadium,Houston,TX,TV,FS1
401531914,Georgia Southern Eagles at Marshall Thundering Herd,GASO @ MRSH,19175,True,2023-11-12T00:00Z,False,3775,Joan C. Edwards Stadium,Huntington,WV,TV,NFL NET
401532617,San Diego State Aztecs at Colorado State Rams,SDSU @ CSU,22033,True,2023-11-12T00:00Z,False,5388,Canvas Stadium,Fort Collins,CO,TV,CBSSN
401520397,Mississippi State Bulldogs at Texas A&M Aggies,MSST @ TA&M,103266,True,2023-11-12T00:30Z,False,3795,Kyle Field,College Station,TX,TV,ESPN2
401531400,Rice Owls at UTSA Roadrunners,RICE @ UTSA,28245,True,2023-11-12T00:30Z,False,3604,Alamodome,San Antonio,TX,TV,ESPNU
401524055,Arizona State Sun Devils at UCLA Bruins,ASU @ UCLA,56436,True,2023-11-12T02:00Z,False,1056,Rose Bowl,Pasadena,CA,TV,PAC12
401532616,New Mexico Lobos at Boise State Broncos,UNM @ BOIS,34076,True,2023-11-12T03:00Z,False,3653,Albertsons Stadium,Boise,ID,TV,FS1
401525886,Iowa State Cyclones at BYU Cougars,ISU @ BYU,60754,True,2023-11-12T03:15Z,False,3801,LaVell Edwards Stadium,Provo,UT,TV,ESPN
401532614,Fresno State Bulldogs at San José State Spartans,FRES @ SJSU,18886,True,2023-11-12T03:30Z,False,3935,CEFCU Stadium,San Jose,CA,TV,CBSSN
